Title,Rating,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""Server""",4.0," Jan 20, 2017",Past,Server,"San Bruno, CA",Neutral,Neutral,Neutral,Part-time,Less than a year,"Fast-paced (time goes by faster), everyone is friendly, customers are typically good people who do not cause gripe about minuscule things","Fast-paced (if you do not like fast environments things can get out of control for you), management can be either really good or extremely poor, customers can be mean and unnecessary, some people do not know how to serve, cooks can be terrrible","Fire people who do not show up or show up late quite a bit, fire cooks who cause problems, be there for your employees"
"""Good place to work for serving""",4.0," Jan 19, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,,Good money is pretty regular if you get the good server sections. Team gets a long pretty well. My managers are good to me.,"Tip out is too high to bussers, bartenders &amp; food runners. Increased to 5% and the work from this staff never increased or improved.",
"""Awesome""",5.0," Jan 18, 2017",Current,Anonymous Employee,"Sacramento, CA",No,No,Neutral,Part-time,,Fast pace with lots of upside. Growing company and does it right. From a great program to developing servers to managers.,No they have a great restaurant everyone is really nice and very supportive,None they really do a great job and make everyone feel welcomed.
"""Good job""",4.0," Jan 18, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,More than a year,Awesome staff. Laid back management team. Easy work.,Slow. Bad clientele. Too many bogos.,
"""Managers mean well, but...""",1.0," Feb 22, 2017",Past,Shift Leader,"Murfreesboro, TN",Yes,Yes,Neutral,Full-time,More than a year,Great pay for a cooking job.<br>Cooking is pretty easy here.,"I worked with alcoholics and drug addicts. They full blown junkies whom go out back and snort a cocktail of mixed pills. Also people show up drunk and hide there booze outside. Over half of the people I work with have D.U.I.s.<br><br>They make it seem like getting promoted to a leadership roll is straight forward... It would be if they actually turned in the paper work. You can do all of the steps, online classes, and recipe test, but if a big wig from California doesn't fly out to approve your promotion it wont happen. Also if he does come to the store, the managers forget to schedule your meeting.<br><br>If you are a responsible person, they take advantage of that. Most of my coworkers are late all of the time, barely do their jobs, and run for the door when they think they can. If you are a responsible person and do what your supposed to and you make a mistake, they will take shifts form you.",Open your eyes! You alienate your good employees and promote the bad ones.
"""Server""",5.0," Jan 16, 2017",Current,Server,,Yes,Neutral,Neutral,Part-time,,Awesome place to work and huge chance to grow within the buisness,Long training but ultimately contributes to the overall business level once open,Keep listening to your employees and truly getting to know them. Trust me they believe it.
"""Decent company to work for while looking for other opportunities.""",3.0," Jan 24, 2017",Past,Server Trainer/Bartender,"Cupertino, CA",No,Neutral,Neutral,Full-time,More than 3 years,Good camaraderie between team members<br>Flexible schedule to accommodate various lifestyles.,"Management treats you like a number, not a person.<br>Managers play favorites and not merit based.","I know it is not true in all locations, but at mine when I first started working there managers were great. They took care of their team members and knew how to motivate. LESS TURNOVER IN MANAGEMENT. In the few years we were there we went through 25+ managers. Constantly having to build rapport with new management every few months is very disheartening. The new managers didn't know anything about keeping their team members happy and motivated. They clearly only though about themselves and would throw a team member under the bus to save themselves any discomfort at the the drop of a hat."
"""Server""",1.0," Feb 12, 2017",Past,Anonymous Employee,,No,No,Neutral,Full-time,,"High volume, fast paced, great food","Poor management, favoritism to employees",Be consistent
"""Line Cook""",4.0," Jan 7, 2017",Current,Line Cook/Trainer,"Pearland, TX",Yes,Yes,Neutral,Full-time,More than 5 years,In Pearland TX the opportunity for growth is there. When Management see the investment to learn put in practice. They help in anyway they can.,"If you don't have gator skin, the hospitality industry is not for you. You deal with different and difficult people some days. They pay could be better.",
"""Server""",3.0," Jan 19, 2017",Past,Server,,No,Neutral,Neutral,Part-time,Less than a year,The people were really cool and easy to get along with.,The management didn't listen to employees. The training was 9 shifts.,When an employee comes to you for help at least try to do something to fix it.
"""Server, Bartender""",3.0," Jan 14, 2017",Past,Anonymous Employee,"Newark, CA",Yes,Neutral,Neutral,Full-time,More than 3 years,Worked with some great people. Made good money and had los of fun at work.,"Management didn't appreciate hard work. There were many times where i would stay and work a double shift or come in because someone called out sick, but it was never appreciated. Employees are expendable, management would even tell us that we were replaceable.",Appreciate your staff
"""Hostess""",5.0," Jan 1, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Overall a great starting pay hourly job. As a hostess, you greet, seat, and side work. The company is well constructed and has in-depth training. I really enjoyed this job- and each shift we got a free meal (off a selected menu).",Was working to obtain a serving position which I was never promoted to in my 8 months as a hostess.,"We get many complaints about our call ahead program, and it's an annoying feature all together."
"""Good job hard work but worth every penny""",5.0," Dec 30, 2016",Current,Dishwasher,"Katy, TX",Yes,Yes,Neutral,Part-time,Less than a year,Managers r real good guys team members are very helpful.,I dont like taking out the trash but ill do whatever pays me.,Keep it up you got a good thing goin
""""" It's. All. Good. "" !""",5.0," Dec 30, 2016",Current,Dishwasher,"Lutz, FL",Yes,Yes,Neutral,Full-time,More than 5 years,"Super High Energy Location ! Great Place to Work , [ if you got lots of Energy,&amp;Love to Move at a Fast Pace ] Come get you Some !","The Main Challenge of working here is ... ummm. ? "" Focus-Focus-Focus "" &amp; "" It Only Hurts When I Think About It """,Thanks for Having Me ! Thanks for Allowing Me to Come - In - Early &amp; Stay - Late ! Lol !
"""Glad I left !!""",1.0," Feb 2, 2017",Past,Server Trainer/Bartender,"Katy, TX",No,No,Neutral,Part-time,More than 3 years,"Laidback, co workers, flexibility","It's slow, not enough money for the work, horrible clientele, extremely long menu, coupons!!!!! They give away free food all the time, management is unprofessional don't care about there employees at all. They talk down to you and are extremely rude, if you are a female you will never move up.","Be more professional, treat your employees how you want to be treated."
"""Server""",3.0," Jan 11, 2017",Past,Server/Waiter,"San Rafael, CA",No,No,Neutral,Full-time,Less than a year,Managers and servers were very nice and qualified for there jobs!,"The kitchen had no care in the world. I am not sure if it's the turn over rate they see. Even the kitchen manager was lost and confused. Far from organized. This would then cause a problem on the floor ( customers not getting correct or complete orders, orders taking about an hour, and sometimes not even made). In turn taking money away from servers tips. I decided to part ways with Bjs because it was simply intruding on my income!",Retrain the kitchen. The army is only as good as its leader.
"""Great""",5.0," Dec 26, 2016",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"Fast paced, good management, finely tuned machine, appreciation.",A lot of employees. Long hours.,Focus on the individual more.
"""Overall a good work experience. You work with great people, both employees and guests.""",4.0," Dec 26, 2016",Current,Food Runner,"Brea, CA",Yes,Neutral,Neutral,Part-time,More than 3 years,"Good hours in the week if you work hard and uphold Gold Standard, decent tips as a food runner. Half off for meals during break or to take home. Discounts for dining in as well. Co workers are like family, you will work with great people here!","Late hours, especially if you close. Expect to be out past midnight when closing, past 1 on weekends. Not all guests will be easy to deal with.","Management lately has been putting us on break right when we clock on, just because its ""slow"" and just to get our breaks done and over with. Don't do this! Breaks are for us to take a break and rest from the chaos. But now we have to work 7 hours straight with no rest. Its unfair and demoralizing to us."
"""Great for college.... if you serve""",4.0," Dec 15, 2016",Current,Server/Waiter,,Yes,Neutral,Neutral,Part-time,More than 5 years,"Good money, not super formal",High manager turn-over. gotta kiss some new butt every few months,"There is a massive gap between corporate management and restaurant functioning. The restaurant is designed to get people in and out as fast as possible while providing a bargain to the consumer. this puts massive stress on the staff, and the corporate side is always putting extra steps on the hourly employees that don't work and arent really done. the management knows what corners to cut so that the numbers look good on paper. There should be no reason that BJs would accept a walk in 50 top with 50 separate checks at midnight when there is one server left working. however, because theres no rules, that will happen. Then, naturally, when that doesn't work the employee is left on the hook and in trouble. The absolute ""yes"" environment is ridiculous. BJs will make any modification, any discount, any accommodation. people come here just to walk all over the restaurant. however, corporate doesn't have to deal with it, its the employees. This makes an environment where the fine people that work there are treated like dog poopoo. You need to be a shark to work at BJS"
"""Server""",1.0," Jan 27, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Full-time,,This place really sucks bad,Bad bad bad bad bad,
"""Kitchen Manager""",5.0," Dec 17, 2016",Past,Kitchen Manager,"Pittsburg, CA",Yes,Yes,Yes,Full-time,More than 5 years,Such a great culture and love the unity with other locations.,Wish recipes were more complex. Sometimes too simple.,Take a bit from every manager you have ever worked with and apply it to your style.
"""Great Staff""",3.0," Dec 30, 2016",Past,Hostess,,No,No,Neutral,Full-time,More than a year,"Great Teammates, Fun work place, great food, lots of opportunity,","stressful work place, some unfriendly mangers,",
"""It's an alright place""",3.0," Dec 26, 2016",Past,Server/Bartender,"Austin, TX",No,Yes,Neutral,Full-time,More than 5 years,"Money is decent for servers, moving up is pretty easy, the restaurant is well kept, discount is very good, they can be very flexible.","Opened too many stores to quickly, doesn't follow values, they have cheapened there product over time, inconsistent product and managment.","Follow the guidelines more closely, stop having favorites, be more professional, be more consistent, stop letting guest walk all over them."
"""Bjs restaurant""",4.0," Dec 12, 2016",Current,Service Assistant,"Puyallup, WA",Yes,Yes,Neutral,Full-time,More than 3 years,I like that it's a super fun environment. Awsome food I get a great discount. I get good tips. And that I never get bored always something going on. Very positive environment.,It can be difficult to advance or get serving shifts. Has its ups and downs but overall a good company to work for.,I think that being trained properly is great. There has been times that I've been thrown into a new job not being trained correctly. I think it's better to train for success not failure.
"""Good to start""",4.0," Dec 13, 2016",Past,Kitchen Manager,"Albuquerque, NM",Yes,Neutral,Neutral,Full-time,More than 3 years,"Good cooperate structure, If your willing to work hard you can be promoted quickly. Free shift meals","If you become a manager your work life balance is pretty bad, food is sub par. Sometimes you get ignored because your one of many thousands that work for BJS","Create a better work life balance, Support your team a little bit more by doing away with IPLH"
"""Good Work Environment""",4.0," Dec 9, 2016",Past,Host/Hostess,,Yes,Yes,Neutral,Part-time,Less than a year,"Flexible hours, cool managers that back you up, free/discounted meals, position flexibility, good training though you're dropped in the deep end fairly quickly","Late hours if you're closing, occasional instances of miscommunication, extremely busy weekends (which can also be a pro if you're a server/bartender)","None to give, except to keep working with your employees the way you do, keep listening to them when they have complaints, etc."
"""General Manager""",3.0," Dec 21, 2016",Past,General Manager,"Atlanta, GA",Neutral,Neutral,Neutral,Full-time,More than 5 years,"Good salary and bonus potential<br>Opportunity for quick and rapid promotion if you are aggressive, result-oriented, committed and able.<br>$50,000 in stock (5 year vest time) upon becoming a GM<br>Heavy accolades when you are driving sales and profits (of course over last year being a public company) but also over goals.","Micromanagement from field operations team<br>Short memory of achievements when you have a bad quarter in sales<br>Expected to make up profit if you are outside of California because of their high minimum wage.<br>As a GM, expected to be available minimally by email at all times and have to work every weekend and every holiday (including Presidents day, Labor Day, etc - literally every holiday).",
"""Server""",3.0," Dec 15, 2016",Past,Anonymous Employee,,Neutral,Yes,Neutral,Part-time,,Ability to create my own schedule,"disconnected management teams, concerned only about their own corporate numbers rather than employee and guest satisfaction",
"""Wait table, run food, facilitate""",4.0," Nov 28, 2016",Current,Anonymous Employee,,No,Yes,Yes,Full-time,,"You make tips, friendly coworkers, beautiful view of the world famous south san francisco sign on the san bruno mountain. breathtaking. cool about giving breaks.","Tips arent that good, foods not that good, understaffed, that sums it all up for you right there folks.",Keep up the good work.
"""depends on the time of year""",4.0," Dec 1, 2016",Past,Anonymous Employee,,No,No,Neutral,Part-time,Less than a year,good co workers and good food,poor organization and inconsiderate management,
"""Working at BJs""",2.0," Nov 29, 2016",Current,"Front of House Trainer, Food Runner, and Takeout Cashier",,No,Neutral,Neutral,Part-time,More than a year,My coworkers are awesome for the most part. I have made some pretty good friends there in the year and a half I've been employed by them. You can basically make your own schedule depending on what availability you give your managers. Most of the time it is easy to swap a shift or get one picked up if you need a shift covered for whatever reason.,"The managers don't care about their employees. They don't really value team members like they should. There is a lot of favoritism from the managers especially as far as accountability goes. They give you a really hard time if you have to call out for a shift, they don't really care if you're sick or have personal things going on they just want a body to fill the position whether you're in a good position to work or not. I gave this job a two stars overall because I feel like managers can really make or break a job for you. So to have a crappy management team that is unfair to team members and does not value or treat their team members like human beings makes it a little hard to want to work for that place. The only reason I gave it any stars at all is because my coworkers is what really makes the job for me. I have really met a handful of great people in my time working for BJs.","Be more fair. Allow your team members to feel heard and valued. No one needs their ego stroked but to only point out things when someone makes a mistake and never use positive reinforcement is not a very good way to go about a manger to team member relationship. You're team members will be more willing to do whatever is asked of them and perform better in their position if they feel as though the management team has some sort of care for them other than just being a body to fill a position. We are all people with lives and things going on outside of work, sometimes it would be nice to be treated like human beings. Also be more honest with employees about their opportunities for advancement. I don't feel as though the managment team is fair or honest about this with team members and as a result a lot of team members feel invalid and end up leaving the company which is why our turnover rate is as high as it is."
"""its a job""",4.0," Nov 11, 2016",Past,Server,,Yes,Yes,Neutral,Part-time,Less than a year,food for the employees yus,tips are sometimes pretty slow,
"""Food Runner""",3.0," Nov 27, 2016",Past,Anonymous Employee,"East Palo Alto, CA",Yes,Yes,Yes,Part-time,Less than a year,Busy restaurant in the PM<br>Good tips,Management was undergoing changes and was neglectful of other peoples set schedules.,Please take in consideration peoples availability. And be serious of it.
"""How (Eye) I see it!""",5.0," Nov 7, 2016",Current,Host,"Menifee, CA",Yes,Neutral,Neutral,Part-time,More than 3 years,"Best reason... Okay, the team as a whole is phenomenal ! Every time someone is in need there appears someone to step up and go over and above the call of duty!",It anticipate the level of flow of revenue,
"""Great company""",5.0," Oct 31, 2016",Current,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,"Been with the company for over 3 years- great culture, they are flexible with relocations which is a plus because they have more than 150 stores nationwide","Not much cons, perhaps the only bad thing I've noticed is when they make bad hires that dilute the positive energy of the restaurant",Try to do a more through job with hiring new team members- it makes a huge difference down the line
"""Easy money""",4.0," Oct 21, 2016",Past,Anonymous Employee,"Arlington, TX",Yes,Neutral,Neutral,,More than 8 years,"Easy money, easy job, nice hours",Have to kiss up to the management to get the good shifts/sections,Management was ok
"""Busser""",2.0," Nov 8, 2016",Past,Busser,"San Rafael, CA",No,Neutral,Yes,,More than a year,".Enviornment<br>. Co-workers<br>. Paid on time<br>. Tips<br>. Free food<br>. Always busy<br><br>Good for tips, Can work late at night. Open late providing more possibilities to pick up shifts when going to school. Very busy",". No room to grow<br>. Lack of management productivity<br>. Lack of communication from Management<br><br>Not good if going to school, i was not able to take time off for a class i had one Saturday. I had asked months in advance to take the day off. Coming up on the day i had to resign or miss my mandatory class.",Better communication. More flexibility for students. More staff on hand. Be patient and understand employees needs. More Communication down the pipe line.
"""Good Place to Work short term""",4.0," Oct 20, 2016",Current,Anonymous Employee,"Norman, OK",Yes,Yes,Neutral,Part-time,,"You can make good money. Even as a host, you make more than minimum wage, and it's very easy to work your way up to being a server, as the industry has such a high turnover of workers. It's a very fast paced environment and the people that work there are amazing. You learn a lot and there's room for growth.","The scheduling is very inconsistent. It's VERY difficult to ask off on certain days as they block them off, and unless specified months before hand, good luck on getting off on Saturdays during football season.",
"""Host/Hostess""",4.0," Oct 20, 2016",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,"The flexible schedule was great and the atmosphere was easy-going. The job itself was pretty simple and was only hectic on the weekend or during game nights, but was still manageable. It was a great customer service experience.",The biggest issue with this job was probably when someone called in and there wasn't someone there to cover for them.,
"""Server""",4.0," Oct 10, 2016",Past,Server,,Yes,Neutral,Neutral,Part-time,More than a year,Good management team and opportunity for advancement.,"Same with any restaurant industry- inconsistent work hours, and required to work every weekend and holidays.",
"""Good""",3.0," Oct 27, 2016",Past,Host,"Tacoma, WA",No,No,Neutral,Part-time,,Pretty good people and nice company,Not the best pay p,
"""Host Desk Coordinator""",2.0," Oct 25, 2016",Current,Host Desk Coordinator,"Roseville, CA",No,Yes,Neutral,Part-time,,"fast-paced, meet lots of people",hours and shifts are not guaranteed,consistency and accountabilitiy are key
"""Server""",1.0," Nov 11, 2016",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,Half price food<br>A billion people to pick up your shift<br>Flexible scheduling,"LONG hours<br>Hours of side work<br>""Corporate this...corporate that""<br>Managers are sexist and kind of creepy",Stop being creepy
"""A day in the life""",3.0," Oct 19, 2016",Current,Server,"Columbus, OH",No,Neutral,Neutral,,More than 5 years,Moderately priced food so the tips are decent. The biggest plus is that all the other servers and bartenders are generally fun people to be around.,The management doesn't respect the needs and wants of their employees and scheduling is sometimes posted just a day or two before you may have to work. The customers are generally extremely picky and often times much more rude and cheap than other places I've worked. Also $4.05 an hour should never be a legal pay rate with or without tips.,"Make the schedule two weeks in advance, admit when you make a mistake, and stop making so many coupons and promotions. It brings people in but only hurts our tips because it doesn't bring in the right kind of people and they don't tip on the comped food."
"""Love this place!""",5.0," Sep 30, 2016",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,Less than a year,"Flexible house, awesome product, and good tips!","Sometimes the management sucks, but only when the do not side with the guest and you want to.",Always side with the guest.
"""Server Assistant""",4.0," Oct 1, 2016",Past,Anonymous Employee,,Yes,Neutral,Yes,Part-time,More than a year,"Great work environment, decent salary, always busy",none that I can think of,
"""Server/Bartender""",2.0," Oct 4, 2016",Past,Anonymous Employee,,No,No,Neutral,Full-time,Less than a year,Good money. Co-workers. Flexible scheduling.,"Managers do not care about you. No such thing as ""being sick"".",Treat your employees like they're humans.
"""Host""",3.0," Oct 3, 2016",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,Less than a year,"Lots of hours, great atmosphere","no flexibility in schedule, unorganized",
"""Not for Motivated Individuals at Corporate""",2.0," Sep 29, 2016",Past,Analyst,"Huntington Beach, CA",No,Neutral,Neutral,Full-time,More than 10 years,"The work in the corporate office is really easy, the pay is decent i suppose. The people are really nice as long as you do exactly what your boss says, and the hours are really relaxed.","You will not be challenged. If you try to excel and do better you will immediately be shut down because everyone is insecure of their position being lost so they will keep you in a narrow corner. Do NOT disagree with anyone in finance, what they say goes.",Get some mid-upper management who actually care about the business and people and not just their own political motivations.
"""Summer job""",4.0," Sep 14, 2016",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,Less than a year,"Easy job, nice people working there, good hours and organized employee scheduleing.","Some drama between workers, servers get on you for over/under seating. Many different mangers because apperently corporate sends new managers to train at this location.",Be stricter on older employees who don't follow conduct. It's confusing when your told something isn't allowed and you see your senior coworker doing just that.
"""Slow or slammed, no in-between""",3.0," Sep 27, 2016",Current,Bartender,"Slidell, LA",Yes,Neutral,Yes,Full-time,More than a year,"Wonderful management team at my location, as well as staff.<br><br>Busy weekends<br><br>Discounts on food during shifts<br><br>All tips are declared<br><br>Benefits offered to FT ( but that's rare )<br><br>Open door policy<br><br>Incentives for further learning and annual awards","Hit or miss, this means unsteady pay<br><br>Closing shifts start at 4:00 and end at midnight, meanwhile the day person only actually has to work for 5 hours and you clean up their mess for the same pay.<br><br>Scheduling is all over the place, prepare for a tornado of a schedule that can go anywhere from 6 days a week to 2 days a week for no reason<br><br>To-go becomes the bar's responsibility as well ( Have a full bar? Need to make drinks for an entire restraunt on top of that?) Too bad...unfortunately To Go doesn't pay anyone enough for them not to quit. Although this is not BJ'S fault as customers simply don't tip on To-go orders.","Seeing as how none of the cons listed are actually controlled by management other than scheduling - all I can say is pick a day person, or a night person, give them equal amount of work per week. Other than that - keep up the good work!"
"""Great place to work""",4.0," Sep 8, 2016",Past,General Manager,"Citrus Heights, CA",Neutral,Yes,Yes,Part-time,More than a year,Very high expectations -- BJ's will always make you better than you are and push you to your limits. The benefit packages for Management is well thought out.,High quality work is not always noticed and the top dogs don't verbalize their appreciation -- it is just expected for you to work hard and continue working hard.,"An extra day off to a management team, or an individual for a job well done speaks volumes about your appreciation."
"""Host""",4.0," Sep 7, 2016",Current,Host,"Mesa, AZ",Yes,Yes,Neutral,Part-time,More than a year,"BJ's is an exciting place to work, if you are a self-motivated individual. It is fully in the restaurant industry, so you must understand all the things that come along with that. I love the pace of work and the ability to work-up. I have worked here for 2 months, and I have already moved up to Take-out (the next position), and I am looking to move into a server position in the next couple months.","The training is not very organized or useful, but you learn more on the job, which is useful.",
"""Scheduling Problems""",3.0," Sep 12, 2016",Current,Line Cook,"Avon, IN",Yes,Neutral,Neutral,Part-time,More than a year,I opened a store and have worked for the past year. Learned a lot about cooking and I'm constantly being pushed to be at my best constantly. Lot of opportunity to move around inside the kitchen and learn new stations.,"Had a lot of scheduling problems, where we've been understaffed for big rushes, or had people leave early to save money on labor cost. Job can also get extremely stressful and some managers do not handle this well","Scheduling problems are making people quit, which leads to being understaffed and poor guest experience"
"""Poor management""",3.0," Sep 9, 2016",Current,Food Server,"Greenwood, IN",No,Neutral,Yes,Part-time,,Great staff to work with,Poor management to work with,Pay more attention to employees
"""Good place to work at while going to school""",4.0," Aug 24, 2016",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,Less than a year,I loved my coworkers which really made this place. Management was flexible when I needed time off to study or for school.,"Restaurant didn't attract the best crowd, therefore the money was very inconsistent.",
"""Bj's is an interesting job""",4.0," Aug 18, 2016",Past,Anonymous Employee,,Yes,Yes,Neutral,Full-time,,-Great people<br>-Ability to make great money as a server<br>-Friendly staff/managers,None really it was a great place,
"""Server""",3.0," Aug 30, 2016",Current,Server/Waiter,"Florence, KY",Yes,Yes,Neutral,,More than a year,"Good money, great food that's all","Managers are horrible talk to you any kind of way. Favoritism. No benefits. Need a grumpy manager for almost everything you do. Rewards, coupons, comps!",Be nice to the servers. We are the face of the restaurant. Keep us happy so we can keep guest happy.
"""Restaurant management""",5.0," Aug 14, 2016",Current,Anonymous Employee,,Yes,No,Neutral,Part-time,Less than a year,"Great opportunities, fun environment, great team work","2 years, and no downfalls at this time",Communication is key. We're all sales builders first and foremost :)
"""Past Expierience""",5.0," Aug 13, 2016",Past,Server,"Bryan, TX",No,Yes,Yes,Part-time,,Fair Management.<br>Good hours if you work hard enough.<br>Alot of advancement opportunities.,Management does not communicate as well as they should.,More communication.
"""Server""",1.0," Sep 18, 2016",Current,Server,"Hurst, TX",No,Neutral,Neutral,Full-time,More than 5 years,Average money not the greatest.,Terrible managment very self absorbed don't care about employees,"Needs new management in Hurst, tx rude and all around do not care about their employees"
"""Not Good""",1.0," Sep 11, 2016",Current,Server/Bartender,"Redmond, WA",No,No,Neutral,Full-time,More than a year,"Awesome employees, flexible schedule, fast money.","Terrible management, poor communication, chaos, hostile work environment, restaurant politics, poor treatment of employees.",Politics in a restaurant never works out.
"""Management is stuck up. terrible atmosphere""",2.0," Aug 21, 2016",Past,Food Runner/Server,"Katy, TX",No,No,Neutral,,Less than a year,"there are no pros, and i need 5 words",WHITE WORK SHIRTS?? AS A SERVER? Half your money goes to getting new shirts!<br>Management sucks.<br>Tips aren't all that. you can do better,"remember, your employees are people. I gave my two weeks and left. Very happy at Chuy's and make more money with a slightly less expensive menu lol"
"""Great welcoming environment, friendly staff and managers and well organized.""",4.0," Jul 26, 2016",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,More than a year,Flexible with your schedule. Good friends with a lot of the co workers. Can advance through job titles throughout time.,Can get bad shifts where you aren't on the clock for very long and don't make much money. Sometimes too many employees.,
"""Hostess""",2.0," Aug 3, 2016",Current,Hostess,"Folsom, CA",No,Neutral,Neutral,Full-time,More than a year,"BJ's uses the Hotschedules service in order to give us our schedules so that we are able to swap, release and pick up shifts. Hosts/Hostess are given a free meal after each shift.","As a host, you are constantly being yelled at by servers on the floor for seating them ""too much"" when it gets busy or ""not enough"" when it gets too slow. Cocktail will yell at you for ""pushing the bar"". Management will take 6 months to a full year to move you up to take-out. Then take-out takes another whole 6 months to a year to be moved up to food runner and then so on to become a server. Hosts do not get tipped out and work the most hours for the least money.",I used to love working at BJ's until a new manager came along and switched everything up. Now it is not in an enjoyable and positive environment anymore. There is drama that spreads around and management does not handle it at all.
"""Worked here happily for almost three years""",5.0," Jul 19, 2016",Current,"Server, Bartender, Bookkeeper","Tallahassee, FL",Yes,Yes,Yes,Full-time,More than a year,"Career opportunities, family environment, focus on customer service, great coworkers",There aren't many cons. Occasionally there can be some miscommunication between managers.,"Make sure everyone is on the same page, at least as far as lower level employees are aware."
"""BJ'S Blowhouse""",3.0," Jul 28, 2016",Current,Food Server,"Roseville, CA",Neutral,Neutral,Yes,,More than 3 years,Amazing development programs that help you grow with the company.,Lack of good quality team members.,Management needs to recognize when team members are doing well. The only feedback we receive is negative.
"""Bartender""",4.0," Jul 3, 2016",Current,Bartender,,Yes,Yes,Neutral,Part-time,Less than a year,"Good money, great work environment","Management sometimes lacks on the ""soft skills"" needed in their positions communicating with staff and guests",Remember your people make the restaurant run
"""Fun Environment, but Underpaid & Understaffed""",3.0," Jul 19, 2016",Current,Anonymous Employee,,No,No,Neutral,Full-time,,"It's a great atmosphere filled with fun events, free food &amp; beer.","There is too much rapid growth without the required human resources to facilitate effective procedures correctly. Since most departments are underpaid and understaffed, it creates a lot of turnover, making it more difficult for remaining employees to pick up the pieces.",Pay more to the support center infrastructure team to keep the heart and soul of BJ's satisfied.
"""Great Management""",4.0," Jun 30, 2016",Current,Server,"Pittsburgh, PA",Yes,Yes,Yes,Part-time,,Very Well structured and organized. Management is professional and available from top to bottom.,None that I have encountered.,Keep up the awesome work!
"""Great restaurant to work for.""",5.0," Jun 29, 2016",Current,Senior Manager,"Longview, TX",No,No,Yes,Full-time,More than a year,They really take care of their people. Good pay and benefits but also show respect. Large company but you can get to know all the upper management. They treat you as equals and critical to their success. Closed Christmas and Thanksgiving.,It's very busy so there are long hours sometimes but usually not more than 11 per day. It would be nice if we had more than 5 salaried managers.,Get rid of 5 plus.
"""More work less pay""",2.0," Jul 11, 2016",Past,Kitchen Manager,,Yes,Yes,Neutral,Full-time,More than 3 years,The pros at first were the company growing and the opportunity was there to move up,"Little growth, lots of backstabbing and drama, work wise expect 65-70 hours a week unless you are a FOH manager. The split is 2 managers in the kitchen and 5 in the front of the house and they stand around and text on their phones all day. Lack of pay and working to the bone to get a small bonus while the gm goes to vacation in Hawaii is ridiculous. Company has changed too much. Also when we are told to lie on an official form about how we spend our time so we can't get paid an hourly wage or we get a write up is ridiculous","Get rid of the drama, lying and backstabbing. Talk to your people about improvements and try to gather information instead of making some blanket statement."
"""Host/Takeout""",3.0," Jul 5, 2016",Current,Hostess/Takeout,"Los Angeles, CA",No,Neutral,Neutral,Part-time,Less than a year,Awesome coworkers. Fun environment. Easy job.,Low pay. Disorganized and unprofessional managers. Short shifts.,
"""Trying to hard to be fancy when they're not""",2.0," Jul 5, 2016",Past,Server,"Austin, TX",Yes,Neutral,Neutral,Full-time,More than a year,"Very flexible schedule, light sidework","Low quality food, mediocre management, cheap clientele",
"""BJ's Restaurant""",4.0," Jun 20, 2016",Past,Host,"Melbourne, FL",No,Neutral,Neutral,Part-time,Less than a year,I opened a new restaurant with Bj's as a host. The trainers and managers were all very patient and helpful. All my coworkers were pleasant as well. It was a great work environment for a summer job.,"As a host, I did not get tipped out by the servers as some restaurants do. Also, it was kind of annoying that for the first couple of paychecks you are given a money card and you cannot sign up for direct deposit right away.","The management when I was there was quite good, so I do not have any advice to give to them."
"""Server""",2.0," Jun 28, 2016",Past,Server,"Lexington-Fayette, KY",No,Neutral,Neutral,Full-time,Less than a year,"General Manager was a very nice man. I didn't work there long, but they promised the world.","All of the service managers left a lot to be desired. Helped with opening a new store in Lexington, KY and was really shocked and let down with their training. I have opened 5 new restaurants in the last decade and BJ's opening training was by far the worst. I do not blame the trainers, as they are just doing their jobs. Corporate should really look at their opening training practices and implement some better ideas. Don't want to call out their names (LIZ) but the two female service managers were unprofessional and rude. Was really shocked at how I was talked to. I am a 36 year old man with a Bachelors degree and haven't been talked to that way in decades.",
"""Senior Manager""",1.0," Jul 21, 2016",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,,The beer was something to be proud of.,Impossible to live up to expectations.,
