Title,Rating,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""Decent minimum-wage gig""",3.0," Jul 1, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,Less than a year,"I appreciated being able to work for a company that, at least in terms of the fast food industry, is generally fairly ethical. My store took the 13 core values very seriously and we were always reminding each other about the Chipotle Mission. While this can get annoying on an 8-hour shift, it was nice knowing that the company mission was genuine and that my coworkers were invested.","The management at my store was a really mixed bag. My bosses/managers were, for the most part, very kind and supportive people. However, my schedule might change at a moment's notice (I would often come in for a 4-hour shift to find that it had been switched to an 8-hour shift without my knowledge), and often weekly schedules were late coming out. I was also eventually working the max number of hours that they could keep me on as ""part time,"" (about 34-36 per week), and while I didn't need the benefits of full-time employment I could see this being an issue for others.","I don't know what corporate management could do about this, but store managers: please stick to the schedules. It's unfair to have to cancel plans that you made around your work schedule because your work schedule changed at the last minute."
"""Crew""",5.0," Jun 7, 2017",Current,Crew Member,"Eatontown, NJ",Yes,Yes,Yes,,More than a year,Great enviroment to work in and love meeting new people and the workers you build a great bond with them also your manager its like a little family in the work place and i would recommend people to come aboard for a job any day you will love it as i do.,I really dont have anything bad to say about this company,
"""Great First Job""",4.0," Jun 15, 2017",Current,Crew Member,"Doylestown, PA",Yes,Yes,Neutral,Full-time,Less than a year,"i learned a ton about the food industry, got free meals, friendly coworkers","schedule conflicts, managers were always stressed about losing money",spend more time making schedules
"""Great place to work""",4.0," Jun 16, 2017",Current,Service Manager In Training,"Loveland, CO",Yes,Yes,Yes,Full-time,,"Team Environment, clear objectives, company sticks to its beliefs, upper management is always helpful","Hard work, unpredictable schedule",Empower lower management to work with the teams for more consistent schedules
"""Cook""",4.0," Jun 15, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,Benefits<br>Great training<br>Many promotion opportunities<br>Competitive pay,"Great place to work, do not have negative remarks at his time",
"""Restaurant Team Member""",3.0," Jun 27, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Great pay for a fast food job, very easy to get a position, interview process is simple (especially for a new opening) most people you work with are nice, easy to move up in the company","Seems like you can only work full time because of the hours you have, management can be annoying as in they want you to smile all the time, be fast paced, but no mercy",Really listen to your workers sometimes. If you want full time workers then let them know because some of us want to go to college after and it makes it hard.
"""""Loved my experience.""""",4.0," Jun 7, 2017",Past,Cashier/Crew,"Houston, TX",Yes,Yes,Yes,Part-time,More than a year,"- You meet great people and truly learn how to be a part of a team<br>- Of course, the free meals any time you're scheduled to work and the 50% discount at the store you work at on your off days (I promise, if you take advantage of this benefit as much as I did, you will hate the food after a while)<br>- If you stay there for a year, you are eligible for tuition reimbursement, so if you are in school or have a desire to go back to school, this works for you<br>- The pay is better than what you'd probably get at any other fast food business<br>-They'll train you on anything that you desire, so you'll learn how the store operates; this advantage can also lead to quicker promotions (especially if you're a top performer)<br>-The fact that there are plenty of advancement opportunities","-Strict on sick/absence policy (they will fire you if you don't follow protocol)<br>-Various changes (this only happens if you work at a low-performing store)<br>-Some managers play favorites (also depends on the store you work at and if you're a top/low performer; didn't happen at my main store, but when I went to visit other stores, I could see it, clearly)<br>-Can be demanding at times if your store is understaffed; however, you'll quickly learn how to manage things after this happens a couple of times","Continue to instill values in all of the employees throughout the company. However, learn when to step in and help an employee when you see them struggle."
"""Can't take the heat, don't work in the kitchen""",3.0," Jun 26, 2017",Past,Service Manager,"Fairfax, VA",No,Neutral,Neutral,Full-time,More than 3 years,Easy advancement up to GM<br>Free meal on shift<br>Generally good training<br>I can't think of any other pros but Glassdoor has a 20 word minimum.,Corporate often prioritizes middle managers over the crew and manager actually at the restaurant<br>Long hours<br>Little support from upper management,Support the people actually in the store. I've seen so many GMs develops health problems because of the stress they were under from area managers trying to pad their numbers. Requiring Gms and apprentices to work 50+ hours for a 30-40k salary is ridiculous. Many will end up making less per hour than hourly managers.
"""Great people but disorganized""",4.0," Jun 2, 2017",Past,Crew Member,"Greenville, SC",Yes,Neutral,Neutral,Part-time,,Great coworkers<br>Free food when working,Training was disorganized and expectations were not always made clear<br><br>Understaffed,Need better communication between other managers and crew.
"""Terrible""",1.0," Jul 17, 2017",Past,Anonymous Employee,,No,No,Neutral,Part-time,More than a year,Its good food and great customers.,"Too much to be done in so little time. expects to be wonder woman when it comes to closing. Over looks EVERYTHING, and doesnt give a fair chance.",Stop overworking your employees and just hire more staff for closing. Giving a 2 person job to one person its absolutely ridiculous.
"""crew member""",1.0," Jul 17, 2017",Current,Crew Member,"Winter Park, FL",No,No,Neutral,Full-time,More than a year,They offer 1 free lunch per shift. you can also get 50% off purchases. They also pay for your lunch breaks.,Theres no consistency. Hours fluctuate constantly and the environment is toxic. Promotions take forever and the standards have fallen tremendously.,Be more organized. Hire older experienced qualified individuals for the title of managers.
"""restaurant crew""",4.0," Jun 11, 2017",Current,Restaurant Crew,"Phoenix, AZ",No,No,Neutral,Full-time,Less than a year,free food and 50% discount,not 40 hours every week,
"""Crew Member""",3.0," Jun 23, 2017",Past,Crew Member,"Malibu, CA",No,Neutral,Neutral,Full-time,Less than a year,Young and ambitious group of coworkers,Misunderstandings and lack of leadership,Lack of leadership can create mistrust and no direction for team members
"""Team Member""",3.0," Jun 24, 2017",Past,Anonymous Employee,,No,No,Neutral,Part-time,,"Free meal, often poorly made but tastes good.","Not enough pay for what they ask, very stressful, hard work, takes skill, and my manager screwed me over when they let me go.",
"""Not Worth It""",2.0," Jun 24, 2017",Past,Crew Member,,No,No,Neutral,Part-time,More than a year,"Advancement opportunities, benefits, tuition reimbursement possible","Poor management, late scheduling, non flexible","Ok, sorry this is going to be long. I was hired at Chipotle by the GM (at that time, she eventually was fired because a bitter former employee told corporate that she was making people work off the clock). Once she was fired, the apprentice was moved up to the GM position when they were NOT ready, instead of Chipotle finding someone qualified to take the position. The apprentice at the time was only apprentice for a few months, and although they had worked their way up from Crew, they still had a lot to learn about managing people. Once this person took the GM position, things went left.<br><br>I can only REALLY speak on experiences from my store, but it is my understanding that MOST Chipotle's in college towns don't give a crap when you have class, or another job, or really any other responsibilities. If they put you on schedule, even if it was their mistake and you aren't available, it is your problem. If you requested off 4-5 weeks in advance and they accidentally schedule you- oop! Oh well! Better find someone to cover or you're in trouble! Also... they do not care how many hours you request to work. If you're a student be VERY specific about how many hours you want, and even then there's no guarantee that will be respected.<br><br>There's no telling when you'll get breaks, especially if the store's busy. There are times where no one went on break until the store literally closed, and by that time you just want to hurry up and finish your work so you can get the hell out of there! That's a 9-10 hour shift with no food or break. If you're on a ""short shift"" such as 4-9:30 you better believe you're not getting a break even if the law says you're supposed to after 5 hours of work.<br><br>Also, no matter what shift you're scheduled for (7:30am-3:30pm or 3:30pm-11:30pm) you're NOT getting off when the schedule says you will. So, if you're the type of person that can't handle working all night then getting up early for class, DON'T close.<br><br>In my opinion, Chipotle asks way too much of employees, and management treats these employees very poorly. Even though the pay is over minimum wage, and personally I received a raise even above that, I didn't feel it was worth the things I was put through by management. There's a tuition reimbursement program that offers up to $5200 every year that you work if you're enrolled in school. I kept pestering my managers about this when finally one day they told me I missed the ""deadline"" that I'd been asking about for weeks... I was miserable. $5000 extra for a college student is like winning the lottery... or really for anyone having that extra money would be extremely nice. When I finally decided to quit, I was told I'm ""dumb"" for going to college because I will be in debt anyways. I was also told by my GM and another manager that they ""make more money in a year than I ever will with my degree"" - LOL. Considering they spend 60-70 hours a week rolling burritos I'm pretty sure my salary will be nicer and require a lot less crappy work. Chipotle needs to not turn the other cheek anymore with all the complaints employees put out about management...there are countless reviews just like this one, so please don't take this as a bitter ex employee review. I loved working at Chipotle because of my coworkers despite the crap we went through, but after losing out on 5 grand because my managers were angry towards students for no reason I decided I had to leave for my sanity."
"""I would not recommend this position.""",2.0," Jun 24, 2017",Past,Closing Prep,"Alexandria, VA",No,Neutral,Yes,Full-time,More than a year,Working at Chipotle has its benefits. You get free food and a good team to work with. Management can be kind as well.,"Working as closing prep was an absolute nightmare. If you work a 8 hour shift, your washing dishes by yourself for 6 of those hours. If you want to train in another position, good luck.",
"""former crew member enjoyed time""",5.0," Jun 7, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,More than a year,its a great place to work,none from my experience working,
"""A place to work""",2.0," Jun 22, 2017",Past,Anonymous Employee,"Olathe, KS",Yes,Neutral,Neutral,Part-time,,"The pay is okay, but watch out for back stabbing managers",No overtime pay<br>No free uniforms<br>So so managers,
"""Hard work sometimes rewarding, often unnoticed""",4.0," Jun 7, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"High energy environment, teamwork oriented","Exhausting at times, refused to cut my hours when I was 16",
"""It was ok""",3.0," Jun 20, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,"Fast and Fun, very entertaining",Coworkers were annoying and very clique like.,
"""Service Manager""",5.0," Jun 3, 2017",Current,Service Manager,"Indianapolis, IN",Yes,Yes,Yes,Full-time,More than 5 years,"Great pay, comes with hard work",A lot of turn-overs due to lack of great training.,
"""Be prepared to be burnt out""",2.0," Jun 19, 2017",Past,Crew Member/Grill Cook,"Squaw Valley, CA",No,No,Yes,Part-time,More than 3 years,"Okay pay, tips, lots of hours, free meal","Break musr be taken when mangers tell you too its usually a half hour to hour intil your shift, too much work for too little money, alot of micromanaging, horrible life work balence. Minors are very often taken advantage off. Also parents of teens, unless your kid needs to know thw value off good hard work, dont let them work here. I have seem some very bright kids eventually drop out if school to become managers here.<br>They will burn you out and replace you. $9 an hour plus tips is nice but thete r other places that offer similar and not better salaries.<br>Yes you do learn to work hard but I would be careful.",Stop micromanaging and give realistic time goals also make sure your managers are trained about what you can and cant do. Also stop hiring so many friends of the crew members and also managers shouldnt fratinize with crew members and even shift leaders. Its unprofessional. Also stop letting children rum these stores
"""Bad management""",3.0," Jun 18, 2017",Current,Anonymous Employee,,No,No,Neutral,Part-time,,"Free bowls, free bowls, free bowls, free bowls, bowls","Clueless managers, rude customers,",Stop hiring young people
"""over worked""",1.0," Jul 9, 2017",Past,Apprentice,"Cleveland, OH",No,Neutral,Neutral,Full-time,More than 3 years,"free food, cool people, good experience","terrible upper management, harrassment, forced to work overtime and not get paid for it.",treat your employees with respect.
"""Crew Member""",4.0," Jun 3, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,,It was a fun experience,It can get hot if working the tortilla line.,
"""Hard work but good place to start""",4.0," May 31, 2017",Current,Crew Member,,Yes,Neutral,Neutral,Part-time,Less than a year,"What you put in is what you get out of it. If you're really dedicated and put in the effort and time, you will move up. The best part is working with the other crew members which can sometimes be fun. They work around your schedule.",It's physically challenging more than anything. You're on your feet and constantly moving around. Expect cuts and burns if you're not careful. There's a proper way to do EVERYTHING.,
"""Crew/Line Member""",5.0," Jun 1, 2017",Past,Crew,"Tigard, OR",Yes,Yes,Yes,Part-time,More than a year,"Fast pace, great staff, flexible scheduling, opportunity for growth",A lot of prep work in short amount of time.,More nurturing of Apprentice
"""Its probably on a manager basis""",1.0," Jul 7, 2017",Past,Anonymous Employee,,No,No,Neutral,Part-time,,I hadn't even started so I can't list pros,"The manager only communicated via text, and my phone did not recieve those texts, so I could not reply. Rather than emailing or calling, he assumed I had turned down the job (despite submitting my W-2 and I-9 in the employee site) and terminated me without any communication. It was probably just the location I was hired at, but it shows how low expectations are for managers.","Try harder to communicate, and hire managers that actually put effort into communicating"
"""Great Culture""",4.0," May 25, 2017",Past,Restaurant Team Member,"Tampa, FL",Yes,Yes,Yes,Full-time,Less than a year,"When Chipotle says ""food with integrity"", they mean it. I loved working for this company but I think part of the reason was that the management worked very hard to live the culture. I worked at a Restaurateur location and I feel that made the world of a difference. The environment allowed us all to be ourselves, create friendships, yet still work hard.",The prep or grill positions are by far the hardest. Whenever I did prep I was definitely worked. Our store sold quite a bit everyday so there were great amounts to prep on a daily basis. It would be nice if we had gotten some of the more advanced equipment to work with.,
"""Carpel Tunnel and Crippling Anxiety""",2.0," Jun 15, 2017",Past,Anonymous Employee,,No,No,Neutral,Full-time,,"Benefits, nice coworkers, above minimum wage.","Carpel tunnel, like a cult, try as hard as you can and nobody will recognize your achievements.",
"""Crew Morale""",3.0," Jun 13, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,"Good pay, plus crew members get tips.",Management unaware of morale of store.,"Listen to your employees, specifically what they talk about, and how, to see where your morale is low, and why."
"""Line Cook""",4.0," May 29, 2017",Past,Anonymous Employee,,No,Yes,Yes,Full-time,,The free food is definitely a plus. i enjoyed having good coworkers and the environment was pretty friendly.,There really isn't much room for professional development within the company. Being worked to the bone and not being paid adequately.,I would recommend treating your employees better or at least increasing pay for the positions that you're hiring for that aren't management.
"""Crew member""",4.0," May 29, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,Less than a year,Working at my particular store was great due to the people that worked both alongside me and above me. My team of managers were very helpful with any issues that i had.,"Any majors cons of the position are due to the industry in which it resides. Dealing with customers can sometimes be unpleasant, and workload can fluctuate tremendously.","Continue to encourage hard work, promoting from within is a great method to do so. Try to find ways to keep team members motivated in both times of work and boredom."
"""A day in the life of a burrito roller.""",3.0," Jun 10, 2017",Current,Crew Member,"Gonzales, LA",Yes,Neutral,Neutral,Part-time,More than a year,Working at chipotle can be a great enviornment to work in. You will learn a lot working here. I love to interact with customers and I made great friends among the crew. I have favorite managers who are now great friends but also help improve my work skills.,The managers do not help close and do not know about respect. I usually leave the store around 11 p.m. because I am doing everyone else job to help close. I was also thrown on cash for the first time and did not feel comfortable handling cash without proper training.,Some of the managers are very disrespectful and need to be toned-down.
"""Company Reviews""",5.0," May 29, 2017",Current,Anonymous Employee,,No,No,Neutral,Full-time,Less than a year,"After reviewing about the company, it seems like it's a great place to work at. I've learned quite a lot from reading the reviews from former/current employees. Who are willing to provide a helpful and positive feedback about the company. Which also allows those who are currently preparing for an interview to be able to get a bettee understanding of the company. Workers are friendly and helpful.",Grill preparation is the hardest position.,
"""Overwhelming amount of work but fun with great benefits and pay.""",4.0," May 22, 2017",Current,Cashier/Crew Member,"Fountain Valley, CA",Yes,Yes,Neutral,Part-time,Less than a year,"Benefits (health, dental &amp; - insurance)<br>Pay higher than min wage<br>Tips<br>Great ethics and emphasis on team work<br>Thorough training<br>Paid breaks<br>Free food when working, 50% off when not working<br>At my location, great managers and co-workers<br>Programs that help with school and work shoe costs",Probably too much work for one person<br>Must work very fast and efficiently<br>Overwhelming at times<br>High expectations<br>No discounts for family/ friends<br>On your feet all day rushing around to get things done<br>Takes a long time to work your way up,Spread the work out a little more across more employees<br>Family/ friends discount
"""kitchen manager""",3.0," Jun 11, 2017",Current,Kitchen Manager,"Jacksonville, FL",No,Neutral,Yes,Part-time,More than a year,"Free food, people, knife skills","Pay, management, grill, the people culture is fake.",Pay your grill cooks more.
"""Chipotle""",4.0," May 27, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,"Flexible hours, decent pay, room for pay improvement, tuition reimbursement","tiring work, long hours, low starting pay",
"""Chipotle Employee""",4.0," May 21, 2017",Past,Crew Member,"Mays Landing, NJ",Yes,Yes,Yes,Part-time,Less than a year,Awesome people to work with. The best part about the job is that Chipotle only hires outgoing social people. Everything is a team environment there and there is plenty of opportunity to learn new things everyday.,It is hard work. Sometimes I have burned myself. You are always on your feet. But some people like this type of work as it makes the day go by faster.,"While working there for me was an overall beneficial experience, the work put in at the job was not worth the pay. If you can accept that you will be working very hard everyday, than the pay is fine, and it is a fun job with the people that work there."
"""General Manager""",2.0," Jun 9, 2017",Current,General Manager,"Bowie, MD",No,No,Neutral,Full-time,More than 3 years,Great opportunity to lead people<br>Being a manager at chipotle looks good on resumé because of how much they focus on PnL<br>Very family like atmosphere which allows you to build your people skills,"A lot of work and even more responsibility for not enough pay; unpaid hours for ""salary"" managers<br>Also sometimes I feel like upper management tends to look down on us.",Don't assume we're all idiots because we didn't finish college. It was just too expensive for some of us.
"""Be prepared""",3.0," Jun 7, 2017",Past,Crew Member/Grill Cook,"Brooklyn, NY",No,Neutral,Yes,Part-time,Less than a year,pay was decent. $10.50 an hour. My crew was very nice as well.,Managers are biased and will protect their favorite employees. A lot of backstage politics in my old work site.,"Treat everyone the same, we are all humans."
"""Pay scale problems, but rewarding.""",3.0," Jun 8, 2017",Current,Kitchen Manager,,Yes,Yes,Neutral,Full-time,More than a year,"Co workers and Co managers are like a family to me, and my job has provided me with cooking and management skills that I can use for the rest of my food career.<br><br>Promotions are given to those who want them","The amount of work that you have to do for certain positions (back of house) versus the amount of work for other positions like Tortilla, Salsa, or Expo is extremely skewed. Having worked all positions, that is firmly what I believe. Every crew member gets paid the same give or take the 6-month raises Chipotle provides. This creates low incentive to want to progress towards promotions and management, as it is generally required to know the back of house positions well to become a Kitchen Manager.<br><br>Always changing procedures and guidelines.<br><br>Also, since the end of the unique team based culture, the upper management style is now more akin to a typical corporate restaurant. We get frequent changes, which are difficult to implement sometimes. This also has management pushing themselves and their crew harder than before with labor variance and the importance of good business numbers.","Pay Grill and Prep more. Take out specialists are paid slightly more, and the work is easier than that of a grill person's. It would create competition for good potential managers, and the restaurants would succeed in the long run.<br><br>Honestly, I enjoy my job. I am very critical of it, but it's only because I care about my crew and fellow managers and I want us to succeed."
"""Chipotle experience""",5.0," May 24, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,One of the great reasons to work at chipotle is the awesome and amazing people you meet.,"The really rude costumers, but hey it's customer service what do you expect.",Don't let the position you have get a little over your head. You we're once where we we're at too.
"""Chipotle Pros/cons""",3.0," Jun 7, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,,The environment that the coworkers provide as to that of a family. I enjoyed working with the people who made work fun.,The policies were quite ridiculous,
"""Be ready to work your rear off""",3.0," Jun 8, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,"Can be a great team to work with, has growth opportunities if you're willing to work for it and the benefits aren't too bad. This company pushes to practice what it preaches and as soon as the company was aware of the health concerns, they raised their standards even higher to keep the food safe.","This job is demanding. Be ready to cover several areas and be certain you are signing up with a good team. I worked multiple locations and it always appeared understaffed, which put pressure on everyone. Very few people last long because of this and when the few who stay overreach their authority.","Be aware more aware of your people and how they interact. In the end, it was the managers' lack of respect and understanding that made it hard to stay."
"""Licensing & Finance Support Specialist""",4.0," May 23, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,"$100 monthly Chipotle meal card, opportunities to grow within business.","High turnover, at times disorganized structure.",Invest more in entry-level staff.
"""Cashier""",4.0," May 24, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,Easy job and Good teammates,No growth and long hours,
"""It's a decent job and you can move up in the company""",3.0," Jun 7, 2017",Past,Anonymous Employee,,No,No,Neutral,Full-time,More than 5 years,Free meals. Advancement opportunities. Free uniforms. You can where jeans.,"They work you like a slave, and if you don't keep up they fire you.",
"""Best Place Ever""",5.0," May 22, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,More than a year,"5 Stars, awesome place to work",None cause it was sweet,
"""Lost their integrity , went from people culture to $$$.""",1.0," Jun 27, 2017",Past,General Manager,,Neutral,No,Neutral,Part-time,,"Work hard, keep your mouth shut, get the hours.","Change , Change. Get back to your people culture.",Do the right thing. To many yes people in upper positions. It is all about the stock price.
"""cook""",2.0," Jun 5, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,Less than a year,free food<br>good food<br>easy to work,horrible management<br>Dont really care about minimum wage workers,
"""It was fun and had purpose. We cared about each other.""",5.0," May 18, 2017",Past,Cashier/Crew Member,"Orlando, FL",Yes,No,Yes,Full-time,,Open and friendly environment. They train you and provide uniform. The food is non GMO. It's a clean place to work. Very goal oriented. Fast paced. A variety of people. Nice opportunity to grow within the company.,New management was brought in all the time. We were understaffed mostly due to management. Overtime is not approved. Extremely fast paced. They worked you to the bone without stopping to appreciate.,Listen to your people. If you are there for us we will certainly be there for you.
"""Good place to work if u want opportunities!""",4.0," May 22, 2017",Current,Service Manager,,Yes,Yes,Neutral,Part-time,,Need to set goal for yourself there's lots of opportunities to move up in company and Free meal!,Standing on your feet all day!,
"""Prep Review""",4.0," May 22, 2017",Past,Anonymous Employee,,Yes,Neutral,Yes,Full-time,More than 3 years,"Great training, managers make sure you work at a comfortable pace while its not hurting the development of the company.","Long hours, not meant for the lazy.",
"""Very rewarding job as crew, not as manager""",4.0," May 21, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,More than a year,"It's very fast paced so time goes by fast, coworkers are great, I learned some good culinary skills",Being on grill is stressful and we don't get paid anymore than FOH crew. Higher ups are always complaining about the smallest things. You almost never get a break. We are sometimes even expected to work during half of our 30 minute breaks because some people slack off or managers don't take the full responsibility.,Stop the extreme critisism towards crew for missing one little crumb while sweeping.
"""Terrible""",1.0," Jun 24, 2017",Past,Crew Member,"Concord, NC",No,No,Neutral,Part-time,More than a year,Free lunch - if you work a full shift,terrible management<br>stressful work environment,"Tell your managers they can't hold teens (still in high school) to the same attendance expectations as the adults. Some of us are too young to have a license and car or can't afford a car and can't be at work every waking moment, also cause we have school."
"""Year at Chipotle""",5.0," May 15, 2017",Past,Cashier and Crew Member,"Chicago, IL",Yes,Neutral,Neutral,Part-time,,"Fast Paced, Free Food, Good Hours, Fun Environment, Great Coworker.","Unstable Management, unstable hours, very focused on labor hours, a lot of favoritism.",Get to know you crew if you go to a new store so you can better utilize everyone's abilities.
"""Good company, good job""",5.0," May 18, 2017",Past,Anonymous Employee,,Neutral,Neutral,Yes,Part-time,Less than a year,"Good benefits, gave me experience",Customers could be a bit to handle,
"""Fun at the beginning""",4.0," May 18, 2017",Past,Crew Member,"Pooler, GA",No,Neutral,Neutral,Full-time,More than a year,The experiences of the kitchen and all the different positions you can be,The customers can be very picky and rude.,"Lead the shifts better, don't be afraid to put your foot down."
"""Good Summer Job""",4.0," May 19, 2017",Past,Chipotle Crew Member,"Cincinnati, OH",Yes,Neutral,Neutral,Part-time,Less than a year,It is incredibly fast paced so you don't have much downtime. There is always something to do and you grow bonds with the people you work with quite quickly.,"There can be some miscommunication when peak times arise. The schedule can be quite monotonous and team members not holding weight can be an issue, but that can be fixed with accountability talks and consistent communication.",I would recommend that management play more of an active role in the front. They are often in the back looking over documents on the computer.
"""Crew Member""",3.0," Jun 1, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,,Received one on ones very frequently which helped develop a stronger connection with manager/apprentice and allowed for growth to be exposed.,Scheduling was usually done last minute as well as shift changes which caused conflict among many employees when trying to find coverage,create more consistent work schedules and refrain from last second schedule changes.
"""Horrible,horrible, horrible""",1.0," Jun 22, 2017",Past,Crew Member,"Woodmore, MD",No,No,Neutral,Part-time,,the free gear after the fire you,"manaer changes basically every month, the hiring process took forever, they dont care about new hirees",hire better managers
"""Chipotle""",4.0," May 17, 2017",Past,Crew Member,"Austin, TX",No,Neutral,Neutral,Full-time,More than a year,Great staff decent managers flexible hours decent pay,My location was super busy like crazy busy,Listen to your crew more we have ideas worht hearing
"""Fine High School Job""",4.0," May 17, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,Less than a year,The schedule worked around being in high school. The food is good and free while you're working.,"Hard, hot, and messy work. Management pins employees against each other and purposely fires people for next to no reason. People don't stay long.",Be more selective in hiring and train more intensely. Don't just give up on people because you need to fire SOMEONE.
"""Cashier/crew member""",4.0," May 18, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,The manager is nice and other employees seems friendly.,I just got the job and haven't started working yet.,
"""Part Time Chipotle""",3.0," May 31, 2017",Past,Anonymous Employee,,No,No,Neutral,Part-time,,Active Work<br>Great team atmosphere<br>Motivated people,On feet all day<br>Can be tiresome if you don't like manual labor,
"""Wow...""",1.0," Jun 21, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,High pay rate<br>Flexible hours<br>Good college help<br>Seasoned food,Awful management<br>Rude employees<br>Too much demands for one person<br>Managers not being managers.,Be nicer to your employees and maybe you'll actually have better business.
"""Cashier""",4.0," May 16, 2017",Past,Cashier,"Fremont, CA",No,Neutral,Neutral,Part-time,More than a year,"Great people, motivated, good atmosphere","Tough customers, busy all the time, too many things to do at once",Make it easier for an employee to get the day off due to emergencies
"""Great Workplace""",5.0," May 14, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Free food, great company, get to play music in back",Get dirty working in back,
"""Labor lovers""",4.0," May 14, 2017",Current,Anonymous Employee,,Yes,Neutral,Yes,Full-time,,Free food and decent pay,Labor intensive and labor intensive,Mutual respect goes a longer way
"""Crew Member""",4.0," May 15, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,Free Food on Break<br>Flexible hours,Management will schedule you on a day that you requested off sometimes,
"""Great Place to Work""",5.0," May 9, 2017",Current,Cashier and Crew Member,"East Lansing, MI",Yes,Yes,Yes,,More than a year,"Chipotle pays well and treats employees well. They only hire friendly people, so the atmosphere is always positive. The benefits are great. Discounted and free food are included. If you want to move up in management, it takes a little perseverance, but there are plenty of opportunities. They are good at letting workers balance school, life, and work.","It gets very busy, so if you are not quick, it may be a difficult job for you. Sometimes, the closing crew gets out later than expected if it has been a busy day.",I think you're doing great!
"""10/10 recommend for students""",4.0," May 12, 2017",Current,Cashier,"Rialto, CA",Yes,Neutral,Neutral,Part-time,More than a year,"Great benefits &amp; flexibility, energetic environment, emphasis put on customer service and experience.",I wouldn't say there are any cons,
"""Alright""",4.0," May 13, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Cool workplace, busy work, nice customers.","If the management sucks, you're doomed.","Its everyone's job, not just yours. Don't hire 10 night staff teenagers and not give me hours."
"""The People""",3.0," May 26, 2017",Current,Chipotle Crew Member,"Opelika, AL",No,No,Neutral,Part-time,Less than a year,"The people make it. A shift full of ""top performers"" can make it fun to work there. The starting wage is high but don't expect significant wages and possible none at all unless you are promoted.",The people can also break it.,"To Corporate and Area Managers: Please don't expect crew members to know all the rules when they are constantly changing and managers can't even keep up with them (too busy trying to manage a restaurant), much less make sure its passed down to us crew members. The standards are ridiculous because there is no good method in place to maintain them as they change so frequently. That is what my experience has been. Don't yell at someone who's been there for 2 weeks because someone else didn't train them according to some new method that the trainer wasn't even taught. smh."
"""Chipotle""",5.0," May 12, 2017",Current,Team Member,"Norridge, IL",No,Neutral,Neutral,Full-time,More than a year,"Great team environment, positive attitudes.","No cons , other than a very fast paced environment",Keep doing what you are doing in terms of always wanting to see the best out of your employee's
"""Good first job""",4.0," May 11, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,More than a year,Always hiring just apply online,Hard to get the job,
"""Cashier-Crew""",5.0," May 9, 2017",Past,"Sales Associate/Cashier, Crew","Chesterfield, MO",No,No,Yes,,Less than a year,"Fast Paced , Freshly prepared delicious food daily , lively atmosphere , extraordinary customer experience.",Hat &amp; direct contact with steam heat,Continue doing a well job.
"""All Went Downhill""",3.0," May 24, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,If the managers are good the crew tends to be good because of how they hire. One free employee meal and 50% off when you're not working. Opportunity to grow and tuition assistance is the best.,"Constantly fighting for hours and a different schedule every week posted way too late. Being understaffed puts so much pressure on everyone and we got criticized when it wasn't our fault. People being sent home just to save on labor and caused the aforementioned problem. No warning if you get fired, it just happens randomly. I hope you have a back-up plan if you decide to work for the company. Even though they got rid of me, I'm glad I am no longer a slave.","Treat your crew with dignity, show them your appreciation for their hard work, and if you say it's going to be a full time job don't cut hours down to 20 or less. It's humiliating."
"""Service manager""",4.0," May 8, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,More than 3 years,Great people and also food,Lots of work and sometimes not enough time.,
